ID,Marque,Type_Vehicule,Age_Vehicule,Valeur_Vehicule_DT,Kilometrage,Chevaux_Fiscaux,Place_Parking,Voiture_Entreprise,Age_Conducteur,Annees_Experience,Nombre_Accidents,Ratio_Accidents_Experience,Score_Vehicule,Score_Conducteur,Type_Vehicule_Classe,Type_Conducteur_Classe,Assurance_Recommandee
1,Jaguar,Voiture populaire,6,123564,77597,19,True,False,56,18,0,0.0,3.5,3.8,High Cost,Expert,Tout Risque
2,Peugeot,Break familial,10,7328,243941,8,True,True,20,1,0,0.0,2.0,3.2,Low Cost,Expert,Tiers Plus
3,Land Rover,Voiture populaire,7,30895,167925,17,False,True,38,0,0,0.0,2.5,3.6,Medium Cost,Expert,Tout Risque
4,Dacia,Voiture populaire,5,6662,70423,3,True,True,59,27,3,0.111,1.9,1.8,Low Cost,À risque,Tiers
5,Volvo,Citadine,14,18531,205938,10,True,False,69,2,1,0.5,2.0,1.2,Low Cost,À risque,Tiers
6,Peugeot,Sportive,6,46158,96277,8,False,True,67,8,0,0.0,2.25,3.2,Medium Cost,Expert,Tout Risque
7,Ferrari,Berline compact,1,284830,14309,18,False,False,25,6,0,0.0,3.8,4.0,High Cost,Expert,Tout Risque
8,Citroën,Berline compact,0,37132,0,6,True,False,71,41,1,0.024,2.9,2.8,Medium Cost,Modéré,Tiers Plus
9,Kia,Voiture populaire,12,4230,307620,4,False,True,27,3,0,0.0,1.0,3.6,Low Cost,Expert,Tiers Plus
10,Toyota,Berline executive,14,22459,210866,10,False,True,38,15,1,0.067,1.6,2.8,Low Cost,Modéré,Tiers
11,Bentley,Sportive,14,60984,208425,25,True,False,32,12,0,0.0,3.15,4.0,High Cost,Expert,Tout Risque
12,Hyundai,SUV,6,17169,114484,7,False,True,34,7,1,0.143,1.55,2.0,Low Cost,À risque,Tiers
13,Maserati,Voiture populaire,0,170370,0,21,True,True,58,27,2,0.074,4.0,2.6,High Cost,Modéré,Tout Risque
14,Ferrari,SUV,7,108606,135753,16,True,True,41,4,1,0.25,3.35,2.0,High Cost,À risque,Tiers Plus
15,Kia,Voiture de luxe,7,19583,77994,7,False,False,20,0,0,0.0,1.75,3.6,Low Cost,Expert,Tiers Plus
16,Jaguar,Berline executive,6,155021,93907,24,True,False,59,12,0,0.0,3.6,3.8,High Cost,Expert,Tout Risque
17,Toyota,Break familial,6,21260,118226,9,False,True,47,4,0,0.0,1.8,3.6,Low Cost,Expert,Tiers Plus
18,Porsche,Berline compact,12,51710,245737,24,True,True,49,6,0,0.0,2.7,3.6,Medium Cost,Expert,Tout Risque
19,BMW,Voiture de luxe,5,62059,122828,11,False,True,70,5,0,0.0,3.0,3.2,Medium Cost,Expert,Tout Risque
20,Land Rover,Berline executive,11,49115,178627,25,True,True,42,6,2,0.333,2.8,1.2,Medium Cost,À risque,Tiers
21,Fiat,Berline executive,0,34363,0,8,False,False,56,5,0,0.0,2.45,3.8,Medium Cost,Expert,Tout Risque
22,Hyundai,Break familial,8,3640,158543,3,False,True,61,23,2,0.087,1.3,2.6,Low Cost,Modéré,Tiers
23,Jaguar,Sportive,5,98246,52713,17,False,False,69,11,0,0.0,3.45,3.6,High Cost,Expert,Tout Risque
24,Chevrolet,SUV,1,35358,22547,9,True,True,66,1,0,0.0,2.75,3.2,Medium Cost,Expert,Tout Risque
25,Bentley,SUV,5,245706,37780,16,False,False,70,43,0,0.0,3.6,3.6,High Cost,Expert,Tout Risque
26,Toyota,Break familial,5,20780,57484,7,True,False,34,5,0,0.0,2.35,4.0,Medium Cost,Expert,Tout Risque
27,Hyundai,Citadine,3,15983,77403,5,True,True,33,0,0,0.0,1.95,3.6,Low Cost,Expert,Tiers Plus
28,Jaguar,Berline compact,10,119702,162382,24,False,True,53,18,1,0.056,2.85,2.6,Medium Cost,Modéré,Tiers Plus
29,Nissan,Voiture de luxe,14,21273,156227,10,False,False,56,17,2,0.118,1.7,2.2,Low Cost,À risque,Tiers
30,Lexus,Citadine,10,21870,87643,14,True,False,59,34,0,0.0,2.35,3.8,Medium Cost,Expert,Tout Risque
31,Ferrari,Berline executive,9,164505,161996,15,True,False,29,4,2,0.5,3.5,1.6,High Cost,À risque,Tiers Plus
32,Audi,Berline compact,10,22928,162644,8,False,True,65,15,2,0.133,2.0,1.8,Low Cost,À risque,Tiers
33,Bentley,SUV,7,229538,131978,16,True,True,53,19,1,0.053,3.6,2.6,High Cost,Modéré,Tout Risque
34,Jaguar,SUV,13,70477,328660,22,True,True,63,17,0,0.0,3.05,3.4,High Cost,Expert,Tout Risque
35,Toyota,Berline compact,2,15803,24235,5,True,False,31,4,0,0.0,2.65,4.0,Medium Cost,Expert,Tout Risque
36,Mercedes,Citadine,7,24888,122736,8,True,False,65,11,1,0.091,2.3,3.0,Medium Cost,Modéré,Tiers Plus
